datetime_athens,eur_per_kwh
2026-01-21 00:00,0.12968
2026-01-21 00:15,0.12362
2026-01-21 00:30,0.10604
2026-01-21 00:45,0.09829
2026-01-21 01:00,0.11521
2026-01-21 01:15,0.12510
2026-01-21 01:30,0.12690
2026-01-21 01:45,0.13033
2026-01-21 02:00,0.12782
2026-01-21 02:15,0.12803
2026-01-21 02:30,0.11745
2026-01-21 02:45,0.11990
2026-01-21 03:00,0.11824
2026-01-21 03:15,0.12510
2026-01-21 03:30,0.12447
2026-01-21 03:45,0.12100
2026-01-21 04:00,0.11535
2026-01-21 04:15,0.11466
2026-01-21 04:30,0.11645
2026-01-21 04:45,0.11679
2026-01-21 05:00,0.11604
2026-01-21 05:15,0.12216
2026-01-21 05:30,0.11266
2026-01-21 05:45,0.12141
2026-01-21 06:00,0.12395
2026-01-21 06:15,0.12364
2026-01-21 06:30,0.12807
2026-01-21 06:45,0.14434
2026-01-21 07:00,0.13552
2026-01-21 07:15,0.16181
2026-01-21 07:30,0.12144
2026-01-21 07:45,0.13744
2026-01-21 08:00,0.12186
2026-01-21 08:15,0.14060
2026-01-21 08:30,0.15220
2026-01-21 08:45,0.15221
2026-01-21 09:15,0.15219
2026-01-21 09:30,0.13917
2026-01-21 09:45,0.14253
2026-01-21 10:00,0.15220
2026-01-21 10:15,0.14360
2026-01-21 10:30,0.14732
2026-01-21 10:45,0.14096
2026-01-21 11:00,0.16533
2026-01-21 11:15,0.15263
2026-01-21 11:30,0.14299
2026-01-21 11:45,0.13353
2026-01-21 12:00,0.14456
2026-01-21 12:15,0.13571
2026-01-21 12:30,0.13336
2026-01-21 12:45,0.12932
2026-01-21 13:00,0.14134
2026-01-21 13:15,0.12967
2026-01-21 13:30,0.14896
2026-01-21 13:45,0.13348
2026-01-21 14:00,0.13132
2026-01-21 14:15,0.13367
2026-01-21 14:30,0.14016
2026-01-21 14:45,0.14276
2026-01-21 15:00,0.13063
2026-01-21 15:15,0.14397
2026-01-21 15:30,0.15218
2026-01-21 15:45,0.16363
2026-01-21 16:00,0.15330
2026-01-21 16:15,0.16198
2026-01-21 16:30,0.16068
2026-01-21 16:45,0.19204
2026-01-21 17:00,0.16570
2026-01-21 17:15,0.20854
2026-01-21 17:30,0.16570
2026-01-21 17:45,0.16610
2026-01-21 18:00,0.15221
2026-01-21 18:15,0.16125
2026-01-21 18:30,0.19195
2026-01-21 18:45,0.21310
2026-01-21 19:00,0.16240
2026-01-21 19:15,0.17451
2026-01-21 19:30,0.17205
2026-01-21 19:45,0.20000
2026-01-21 20:00,0.19463
2026-01-21 20:15,0.19176
2026-01-21 20:30,0.18000
2026-01-21 20:45,0.15221
2026-01-21 21:00,0.21971
2026-01-21 21:15,0.16667
2026-01-21 21:30,0.15221
2026-01-21 21:45,0.15189
2026-01-21 22:00,0.17372
2026-01-21 22:15,0.16147
2026-01-21 22:30,0.15271
2026-01-21 22:45,0.15187
2026-01-21 23:00,0.15125
2026-01-21 23:15,0.14835
2026-01-21 23:30,0.14573
2026-01-21 23:45,0.14077
